Timeframe,Regime,Net Return,CAGR,Max Drawdown,Sharpe,Trades,Win Rate,BH Return,BH Max DD,BH Sharpe,Beats BH
1h,Bear 2022,-19.34%,-19.45%,-62.00%,-0.03,951,38.0%,-78.23%,-80.53%,-1.31,✅ YES
1h,Bull 2023-2024,-86.70%,-63.60%,-89.97%,-1.78,1985,32.7%,543.68%,-49.85%,1.65,❌ NO
1h,Recent 2025-26,-17.73%,-12.92%,-58.63%,0.16,1481,35.6%,-66.48%,-75.59%,-0.62,✅ YES
1h,Full Period,-91.18%,-42.34%,-95.65%,-0.62,4418,34.8%,-64.48%,-81.25%,0.07,❌ NO
4h,Bear 2022,29.64%,29.85%,-20.60%,0.92,243,39.5%,-78.30%,-80.53%,-1.31,✅ YES
4h,Bull 2023-2024,52.33%,23.48%,-30.88%,0.83,487,35.3%,542.19%,-48.17%,1.65,❌ NO
4h,Recent 2025-26,17.19%,11.91%,-38.42%,0.48,353,39.1%,-66.48%,-75.05%,-0.62,✅ YES
4h,Full Period,120.70%,19.66%,-38.42%,0.69,1090,37.6%,-64.48%,-81.03%,0.07,✅ YES
1d,Bear 2022,11.41%,11.49%,-5.26%,0.93,32,43.8%,-77.88%,-79.63%,-1.31,✅ YES
1d,Bull 2023-2024,14.17%,6.87%,-11.18%,0.52,98,37.8%,541.12%,-44.03%,1.63,❌ NO
1d,Recent 2025-26,-5.21%,-3.72%,-16.52%,-0.26,52,36.5%,-67.01%,-74.75%,-0.67,✅ YES
1d,Full Period,13.19%,2.85%,-22.56%,0.28,192,38.5%,-64.88%,-79.80%,0.06,✅ YES
